name,popularity,type,genres,followers,id,uri
Taylor Swift,100,artist,pop,0,06HL4z0CvFAxyc27GXpf02,spotify:artist:06HL4z0CvFAxyc27GXpf02
Machine Gun Kelly,75,artist,"ohio hip hop, pop rap",0,6TIYQ3jFPwQSRmorSezPxX,spotify:artist:6TIYQ3jFPwQSRmorSezPxX
Bazzi,69,artist,pop,0,4GvEc3ANtPPjt1ZJllr5Zl,spotify:artist:4GvEc3ANtPPjt1ZJllr5Zl
Lauv,74,artist,pop,0,5JZ7CnR6gTvEMKX4g70Amv,spotify:artist:5JZ7CnR6gTvEMKX4g70Amv
Tate McRae,86,artist,"alt z, pop",0,45dkTj5sMRSjrmBSBeiHym,spotify:artist:45dkTj5sMRSjrmBSBeiHym
Olivia Rodrigo,88,artist,pop,0,1McMsnEElThX1knmY4oliG,spotify:artist:1McMsnEElThX1knmY4oliG
Ed Sheeran,88,artist,"pop, singer-songwriter pop, uk pop",0,6eUKZXaKkcviH0Ku9w2n3V,spotify:artist:6eUKZXaKkcviH0Ku9w2n3V
Pritam,87,artist,"filmi, indian instrumental, modern bollywood",0,1wRPtKGflJrBx9BmLsSwlU,spotify:artist:1wRPtKGflJrBx9BmLsSwlU
Sabrina Carpenter,81,artist,pop,0,74KM79TiuVKeVCqs8QtB0B,spotify:artist:74KM79TiuVKeVCqs8QtB0B
UPSAHL,59,artist,"alt z, modern indie pop",0,1294QqYm1VuxxjRiL9M0h9,spotify:artist:1294QqYm1VuxxjRiL9M0h9
SYML,70,artist,"indie anthem-folk, modern indie pop",0,6AyATGg7mDgBlZ4N5uNog0,spotify:artist:6AyATGg7mDgBlZ4N5uNog0
Sub Urban,65,artist,modern indie pop,0,7gXb99Sf9nNmpNYeAgIQFG,spotify:artist:7gXb99Sf9nNmpNYeAgIQFG
Billie Eilish,87,artist,"art pop, pop",0,6qqNVTkY8uBg9cP3Jd7DAH,spotify:artist:6qqNVTkY8uBg9cP3Jd7DAH
Quinn XCII,62,artist,indie pop rap,0,3ApUX1o6oSz321MMECyIYd,spotify:artist:3ApUX1o6oSz321MMECyIYd
Maisie Peters,64,artist,"alt z, uk pop",0,2RVvqRBon9NgaGXKfywDSs,spotify:artist:2RVvqRBon9NgaGXKfywDSs
blackbear,73,artist,pop,0,2cFrymmkijnjDg9SS92EPM,spotify:artist:2cFrymmkijnjDg9SS92EPM
Selena Gomez,82,artist,"pop, post-teen pop",0,0C8ZW7ezQVs4URX5aX7Kqx,spotify:artist:0C8ZW7ezQVs4URX5aX7Kqx
Anson Seabra,64,artist,"alt z, gen z singer-songwriter",0,2jHp7gQArCQrlMvdrIVFCg,spotify:artist:2jHp7gQArCQrlMvdrIVFCg
Why Don't We,67,artist,"boy band, pop",0,2jnIB6XdLvnJUeNTy5A0J2,spotify:artist:2jnIB6XdLvnJUeNTy5A0J2
One Direction,82,artist,"boy band, pop, post-teen pop, talent show",0,4AK6F7OLvEQ5QYCBNiQWHq,spotify:artist:4AK6F7OLvEQ5QYCBNiQWHq
Post Malone,87,artist,"dfw rap, melodic rap, pop, rap",0,246dkjvS1zLTtiykXe5h60,spotify:artist:246dkjvS1zLTtiykXe5h60
Halsey,80,artist,"electropop, etherpop, indie poptimism, pop",0,26VFTg2z8YR0cCuwLzESi2,spotify:artist:26VFTg2z8YR0cCuwLzESi2
Trey Songz,68,artist,"dance pop, r&b, southern hip hop, trap, urban contemporary",0,2iojnBLj0qIMiKPvVhLnsH,spotify:artist:2iojnBLj0qIMiKPvVhLnsH
The Weeknd,94,artist,"canadian contemporary r&b, canadian pop, pop",0,1Xyo4u8uXC1ZmMpatF05PJ,spotify:artist:1Xyo4u8uXC1ZmMpatF05PJ
Harry Styles,84,artist,pop,0,6KImCVD70vtIoJWnq6nGn3,spotify:artist:6KImCVD70vtIoJWnq6nGn3
